runids hlt
728c58ecd752a402f4b635910852998faaa29c00 11303.093
c6e13dbc0728970e8734f6f0a1764fc1194d555b 157999.043863825
ab3bfde3b3ca39132c05dfdafa4ff40b15492731 38559.82249692
295faa678565a9db85f1332682fdbeb110b31a8f 142793.208067521
728119c1ec1898860fc71f360009e34fb36f2a3b 199074.933907256
4ff0067bc785696ae11246710c0165a5d6e505e7 59902.0949791089
1310e0d49f1bcac8fbd114c875760ca37b52729b 23181.0332181517
c7e17793d4cea220776309d95ce1af32cab57d16 NA
a04c860596328c46022d532b52ef9f269a3505e6 18794.3560992014
30409844ad11d66520778d6d8c3cb5a32e0f4838 11726.5770530399
e3bde4243946a6e75ab0b8ef73dc7a4db6ebb32e 47272.9590301509
59c150160c2f9730bcd9c83cc42c0ebb6ac5c623 NA
853a2ebb75f05d08ee00f7ff1ba9182d6e00994d 59526.2899208351
57c4d27908cfc6f84563960ccfe7a341f0f1e91f 25245.3706795188
5b0875baaf0835e4e26fa2091b1b96c51ec339c0 20204.7969949693
81b18b3bfcc96a50cb32e3f76751215c0bf5cf5f 36660.4120520155
4fdc08092e44d4f24cf95d1268730d81f5f5b615 26227.69
68fc7c1cdb0b1d5bc60f5a09c3e6f1cda94028c5 13313.6503971969
df1e4cba107f7f2283b4828b8fde80aa9bebfa70 11346.4493115859
089038c65e54370d8321dfdf8fb86916c9c1656d 31777.768026181
a0607d1bb7457d149b1970e7b60724b1d7376880 19081.470187453
b1501d4476b59c82e0fb969f4900df0ef128e5cb 16592.7793049709
c18aa70d43dd486ea397f65c902b3a7b292b0fb3 17111.1395032213
28f64ad8f03007fbfc0fb72cad027479ab9e00a0 15680.586489927
4f5710c684bd68be27e40c36b44d9c8f684c8126 16986.3882842766
efc1b026e2c71c23de7369ed4831761f14e0824d 18827.4272409733
24829ab770a7792f542a042688705e2706cc0785 34572.1504356757
ddec1093c412e7c4f49627a83ad420d93d6fee35 2078.392
a7bac22fae4cf1dd6bf6020a20ff67e681bfb3dc 85309.6545633037
978c3d852ea356cc8c59abca4a4960ae49cd25a9 119971.13638555
6d95031fa1fb00cdcbe4aac2998d60cfae6f680c 107332.550965169
2dbabc5720b239077ed7bbca336907dd3665085a 90798.1939413138
ccd3cc53620f710a9429bb00a49613e41f3202eb 62732.2615532475
6ff74605f9fbfc436e30a29806c22edf38e2730f 9405.406
5e431732526452d63909e1cd9b39de090e2bc4fc 29733.7678410701
157d2192e879f204c23d8cf1d3fd48f9919eedd3 22748.7498217454
